thanks,tangiu
today,tude
two,tufala
together,tugeda
with,tugeda
with,tugeda
very,tumas
too much,tumas
excessive,tumas
stop it,tumas
really,fogud
truly,fogud
very,fogud
from,from
follow,aftarem
pursue,aftarem
I think,ating
before,bifoa
question marker,ba
will,bae
really,barava
truly,barava
because,bekos
but,bat
therefore,dastawe
then,den
this kind of…,diskaen
now,distaem
anyone,eniwan
find,faendim
flowing conversation,flo
finish,finis
over,finis
end,finis
stop,finis
enough,finis
follow,folom
after,folom
after,falom
follow,falom
before,fastaem
good,gud
a good thing action or person,gud wan
he,hem
she,hem
it,hem
hold,holem
have,holem
carry,holem
how,hao
joking,jokes
join,joenem
come,kam
send,kam
take,kam
bring,kam
con man,kon man
scammer,kon man
fraudster,kon man
to cause,kosem
keep,kipim
reach,kasem
arrive,kasem
visit,kasem
until,kasem
kind,kaen
sort,kaen
sort of person/behavior,kaen taep
a little,lelebet
like,laek
want,laek
like,laekem
want,laekem
liar,laeia
fake,laeia
not real,laeia
man,man
middle,midol
in between,midol
the two of us,mi tufala
do,mekim
cause,mekim
make,mekim
mean,minim
understand,minim
miss,missim
now,nau ba
enough,naf
need,nid
need,nidim
bad,nogud
no,nomoa
just,nomoa
only,nomoa
National Referral Hospital,namba naen
now,nau
anyone,eniwan
night,naet
like what,olsem wanem
how,olsem wanem
like this/that,olsem
they,olgeta
them,olgeta
all,olgeta
people,pipol
put,putim
know,save
understand,save
usually do,save
some,samfala
Solbrew SB (beer),Solbrew
say,sei
show,soem
money,selen
sleep,slip
him,seleva
herself,seleva
only,seleva
alone,seleva
some one,samwan
show,sosoem
sort out,sotem
begin,statim
start,statim
steal,stilim
true,stret
stay,stei
live at,stei
,tough one
tell,talem
take,tekem
carry,tekem
bring,tekem
time,taem
think,ting ting
you,iu fala
us,iu mi
you and I,iu an mi
you two,iu tufala
what,wat
want,wande
with,wetim
yup,ies
still,iet
ongoing,iet
