Feature id,Feature,Value,Source,Comment
,,,,
GB020,Are there definite or specific articles?,1,Meyerhoff 2013,Note that the article marks specificity as opposed to definiteness.
GB021,Do indefinite nominals commonly have indefinite articles?,0,Crowley 2004,"Not mentioned, judged absent"
GB022,Are there prenominal articles?,1,Meyerhoff 2013,
GB023,Are there postnominal articles?,1,Meyerhoff 2013,
GB024,What is the order of numeral and noun in the NP?,1,Meyerhoff 2013,
GB025,What is the order of adnominal demonstrative and noun?,2,Crowley 2004: 50,
GB026,Can adnominal property words occur discontinuously?,0,Meyerhoff 2013,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,Crowley 2004: 70,
GB028,Is there a distinction between inclusive and exclusive?,1,Crowley 2004: 46,
GB030,Is there a gender distinction in independent 3rd person pronouns?,0,Meyerhoff 2013,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?,1,Crowley 2004: 46,
GB035,Are there three or more distance contrasts in demonstratives?,0,Crowley 2004: 64-65,
GB036,Do demonstratives show an elevation distinction?,0,Crowley 2004: 64-65,
GB037,Do demonstratives show a visible-nonvisible distinction?,0,Crowley 2004: 64-65,
GB038,Are there demonstrative classifiers?,0,Crowley 2004: 64-65,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Crowley 2004,"Not mentioned, judged absent"
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Crowley 2004: 51,
GB042,Is there productive overt morphological singular marking on nouns?,0,Crowley 2004,"Not mentioned, judged absent"
GB043,Is there productive morphological dual marking on nouns?,0,Crowley 2004,"Not mentioned, judged absent"
GB044,Is there productive morphological plural marking on nouns?,0,Meyerhoff 2013,"“A minority of speakers, mainly in urban centres, and perhaps only those with high English proficiency, may irregularly use a noun with plural suffix -s, with or without a Bislama determiner).”"
GB046,Is there an associative plural marker for nouns?,1,Meyerhoff 2013,
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,0,Crowley 2004: 44-45,
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,0,Crowley 2004: 44-45,
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,0,Crowley 2004: 44-45,
GB051,Is there a gender/noun class system where sex is a factor in class assignment?,0,Meyerhoff 2013,
GB052,Is there a gender/noun class system where shape is a factor in class assignment?,0,Meyerhoff 2013,
GB053,Is there a gender/noun class system where animacy is a factor in class assignment?,0,Meyerhoff 2013,
GB054,Is there a gender/noun class system where plant status is a factor in class assignment?,0,Meyerhoff 2013,
GB057,Are there numeral classifiers?,0,Meyerhoff 2013,
GB058,Are there possessive classifiers?,0,Crowley 2004,"Not mentioned, judged absent"
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,Crowley 2004: 69,
GB065,What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?,2,Meyerhoff 2013,
GB068,"Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",1,Meyerhoff 2013,
GB069,"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Crowley 2004: 29,
GB070,Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?,0,Crowley 2004: 25,
GB071,Are there morphological cases for pronominal core arguments (i.e. S/A/P)?,1,Crowley 2004: 46,"“Pronouns in Bislama have the same form regardless of whether they appear as the subject or the object of a verb, apart from the distinction between subject olgeta and object ol in alternation with olgeta.”"
GB072,Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?,?,Crowley 2004: 130,It is not clear how often the preposition long is shortened to lo or l- and phonologically bound to the following NP.
GB073,Are there morphological cases for independent oblique personal pronominal arguments (i.e. not S/A/P)?,?,Crowley 2004: 130,It is not clear how often the preposition long is shortened to lo or l- and phonologically bound to the following pronoun.
GB074,Are there prepositions?,1,Meyerhoff 2013,
GB075,Are there postpositions?,0,Meyerhoff 2013,
GB079,"Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?",0,Crowley 2004: 77,
GB080,"Do verbs have suffixes/enclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?",1,Crowley 2004: 28,
GB081,Is there productive infixation in verbs?,0,Crowley 2004: 77,
GB082,Is there overt morphological marking of present tense on verbs?,0,Crowley 2004: 77,
GB083,Is there overt morphological marking on the verb dedicated to past tense?,0,Crowley 2004: 77,
