English,Bislama,Pijin,Tok Pisin,Torres Creole
i,mi,mi,mi,ay
you,yu,iu,yu/yupela,yu
we,yumi,mifala,yumi/mipela,mipla
one,wan,wan,wan,wan
two,tu,tu/tufala,tu,tu
person,man/fala,man,man,age/kole/agey
fish,fis,fis/bis,pis,
dog,dog/ovon,dogi,dok,dog
louse,kuti,laos,laus,laus
tree,wud/tri,tri,diwai,tri
leaf,lif,lif,lip,
skin,skin,skin,skin,skin
blood,blad,blad,blut,blad
bone,bun,bon,bun,bon
ear,sore/dalinan,ia,yau/ia,talina
nose,nus,nos,nus,nos
tooth,tut,titi,tit,tit
tongue,tan,tan,tan,tan
hand,han,am/han,han,an
breast,titi/susu,susu/tutu,susu,susu
drink,drin,drinkim,drin,drin
see,lasiri/luk,luk,lukim,luk
hear,harem/arem,herem,harim,lesen
die,ded/matemate,dae/kikim baket,dai,ded
come,kam,kam/kakam,kam,kam
sun,san,san,san,san
star,sita,sta,sta,sta
water,wota,wata,wara,wata
stone,ston,ston,ston,ston
fire,faya/faia,faea,paia,
path,rod/ahal,rod,rot,
mountain,hil,hil/maonden,maunten,il
night,nat/namb~on,dak/naet/tudak,nait,nait
full,ful,ful/fulap,pulap,
new,5u,niu/niufala,niupela,
name,nem,nem,nem,
eye,,ae,ai,ay
knee,,ni,skru bilon lek,
liver,,liva,lewa,liba
horn,,,hon,
