English,Bislama,Pijin,Tok Pisin,Torres Creole
all,olbaot,olgeta,olgeta,ol
anchor,angka/angkarem,angka,anka,angka
axe,akis,aks,akis,tamyok
bad,bad,nogud,nogut,nogud/bad
because,bikos/from,bekos,bikos,bikoz
blood,blad,blad,blut,blad
bone,bun,bon,bun,bon
book,buk/bukum,buk,buk,buk
breast,titi/susu,susu/tutu,susu,susu
cause,mekenoes/meksem,mekim,as,meke
child,pikinini,pikinini,pikinini,piknini
church,jioj/jos,sios,lotu/haus lotu/sios,soes
cloud,klaod,klaod,klaut,klaud
come,kam,kam/kakam,kam,kam
crocodile,algita/krokodael,krokodael,pukpuk,algida
die,ded/matemate,dae/kikim baket,dai/dai pinis,ded
do,mekmekem/mekwanem/rongem/wokem,mekim,mekim,meke/du
dog,dog/ovon,dogi,dok,dog
drink,drin/dringim,drinkim,drin/dringim,drin
drum,dram,dram,kundu/garamut,dram
ear,dalinan/ia,ia,yau/ia/yau/ia,talina/talinga
eye,ae,ae,ai,ay/ai
father,dadi/papa,dadi,papa,baba
find,faenem,faendim,painim pinis,paine
fire,faya/faia/blakanis/faea/faerem,faea,paia,paya
fish,fis,fis/bis,pis,pis
foot,fut,fut,put/lek/fut,thraik
full,ful,ful/fulap,pulap,ful
girl,gaed/gel,gele,gel/meri,gel
good,gud/gudfala,gud,gutpela/gut/gutpela,gud
ground,graon/kraon,graon,graun,graun
hand,han,am/han,han,an
have,gat/wokdrae,holem,gat,gad
he,,hem,em,em
head,hed/hedem,hed,het,ed
hear,harem/arem,herem,harim,lesen
house,haos,haos,haus,aus
how,hamas/hao/weswe,hao/olsem wanem,olsem/wanem/olsem wanem,wiskain
i,mi/aesi/areno,mi,mi,ay
island,aelan,aelan,ailan,ailan
knee,ni,ni,skru bilon lek/skru,ni
leaf,lif,lif,lip/lip/lip bilong diwai,lif
like,laek/laekem,laek/laekem,laikim,laik
liver,leva,liva,lewa/liva,liba
lizard,lised/nabiga/nabigae,lisad,palai,gwana
louse,kuti/laos/nakutu,laos,laus,laus
make,mek/mekem,mekim,wokim,meke
man,haosboe/mista,man,man/manmeri,man
moon,mun,mun,mun,mun
mother,mama,mami/mata,mama/mama/mami,ama
mountain,hil,hil/maonden,maunten,il
name,nem/eks/nemem/nemsek,nem,nem,neim
need,nid/nidim/nitim,nid/nidim,nidim/laikim,nide
new,niu/niufala,niu/niufala,niupela/nupela,niu
night,nat/namb~on/naet,dak/naet/tudak,nait,nait
no,/nogud/nomata/nomo,nomoa,nogat,launga
nose,nus,nos,nus,nos
one,wan/wanfala/wansaed/wanwei,wan,wan/wanpela/wan/wanpela,wan
people,pipol/smolnambas,pipol,manmeri/pipel,pipel
person,man/fala/dabolhed/martinike/pesen/puaman/suang,man,man/man/meri,age/kole/agey
rain,ren,ren,ren,ren
sea,besdemea/nabiribiri/naeli/nambirimbiri/natalie/natavoa/si/siplen/sisnek,bisdima/si/soltwata,solwara,solwata
see,lasiri/luk,luk,lukim,luk
shark,sak,sak,sak,sak
skin,skin/skinim,skin,skin/sigin,skin
sky,skae,skae/antap,skai/ples bilong klaut/heven/antap,skai
sleep,slip,slip,slip,slip
snake,binrop/snek/snekbin/snekrop/wanmita,snek,snek,sneik
some,samfala/samtaem,samfala,sampela,sam
spear,ginigras/sperem/spersperem/spia/spiagras,spia,spia/supia,spiya
star,sita/sta,sta,sta,sta
steal,stil/stilim/stilimaot/stilstilim,stilim,stilim,stile
stone,ston/stonwol,ston,ston,ston
sun,san,san,san,san
take,tekem,kam/tekem,kisim/bringim,teke
tell,raosem/talem/taltalem,talem,tokim,tok
they,olgeta/oli,olgeta,ol,dempla
think,ting/tingbaot/tingting,ting ting,tingting/ting/tingting,tingk
time,taem/taemem,taem,taim,taim
today,tede,tude,tede/tude,tidei
tomorrow,tumora,tumoro,tumaro,thumara
tongue,tan/tang,tan,tan/tang,tan
tooth,tut,titi,tit,tit
tree,wud/tri,tri,diwai/dawai,tri
true,tru,stret,tru,tru
turtle,totel,totel,trosel/trausel,totol
two,tu/tufala/tustori/tutu,tu/tufala,tu/tupela/tu/tupela,tu
understand,andastan/andastanem/haremsave/ridimsave/save,minim/save,save,sabe
very,dabolbun/fodei/sapgud/smolsmol/stonej,tumas/fogud,tumas/mo/tru,tumas
want,wantem,laek/laekem/wande,laik,wande/wanem
water,wota/welwota/wotafi/wotasaplae,wata,wara,wata
we,yumi/mitrifala/mitufala/yumitrifala/yumitu/yumitufala,mifala,yumi/mipela,mipla
what,kanelvet/wanem/wataem/watfo/wedei,wat,wanem,wanem
wind,waenem/waenemap/wilim/wilimap/win,komburu/wind,win,win
yam,redyam/waelu/yamsped,yam,mami/yam,yam
yes,,yes/ya,ya/yes,wa
you,yu/taptapin/yufala/yutrifala/yutufala,iu/iu fala,yu/yupela/yu/yupela,yu
