English,Bislama,Pijin,Tok Pisin,Torres Creole
all,olbaot,olgeta,olgeta,ol
anchor,angka,angka,anka,angka
axe,akis,aks,akis,tamyok
bad,bad,nogud,nogut,nogud
because,bikos,bekos,bikos,bikoz
blood,blad,blad,blut,blad
bone,bun,bon,bun,bon
book,buk,buk,buk,buk
breast,susu,susu,susu,susu
cause,meksem,mekim,as,meke
child,pikinini,pikinini,pikinini,piknini
church,jioj,sios,sios,soes
cloud,klaod,klaod,klaut,klaud
come,kam,kam,kam,kam
crocodile,algita,krokodael,pukpuk,algida
die,ded,dae,dai,ded
do,mekmekem,mekim,mekim,meke
dog,dog,dogi,dok,dog
drink,dringim,drinkim,dringim,drin
drum,dram,dram,garamut,dram
ear,ia,ia,ia,talina
eye,ae,ae,ai,ai
father,dadi,dadi,papa,baba
find,faenem,faendim,painim pinis,paine
fire,faia,faea,paia,paya
fish,fis,fis,pis,pis
foot,fut,fut,fut,thraik
full,ful,ful,pulap,ful
girl,gel,gele,gel,gel
good,gud,gud,gut,gud
ground,graon,graon,graun,graun
hand,han,han,han,an
have,gat,holem,gat,gad
he,,hem,em,em
head,hed,hed,het,ed
hear,harem,herem,harim,lesen
house,haos,haos,haus,aus
how,hao,olsem wanem,olsem wanem,wiskain
i,mi,mi,mi,ay
island,aelan,aelan,ailan,ailan
knee,ni,ni,skru,ni
leaf,lif,lif,lip,lif
like,laekem,laekem,laikim,laik
liver,leva,liva,liva,liba
lizard,lised,lisad,palai,gwana
louse,laos,laos,laus,laus
make,mekem,mekim,wokim,meke
man,mista,man,man,man
moon,mun,mun,mun,mun
mother,mama,mami,mama,ama
mountain,hil,maonden,maunten,il
name,nem,nem,nem,neim
need,nidim,nidim,nidim,nide
new,niu,niu,niupela,niu
night,naet,naet,nait,nait
no,nogud,nomoa,nogat,launga
nose,nus,nos,nus,nos
one,wan,wan,wan,wan
people,pipol,pipol,pipel,pipel
person,man,man,man,age
rain,ren,ren,ren,ren
sea,si,soltwata,solwara,solwata
see,luk,luk,lukim,luk
shark,sak,sak,sak,sak
skin,skin,skin,skin,skin
sky,skae,skae,skai,skai
sleep,slip,slip,slip,slip
snake,snek,snek,snek,sneik
some,samfala,samfala,sampela,sam
spear,spia,spia,spia,spiya
star,sta,sta,sta,sta
steal,stilim,stilim,stilim,stile
stone,ston,ston,ston,ston
sun,san,san,san,san
take,tekem,tekem,kisim,teke
tell,talem,talem,tokim,tok
they,olgeta,olgeta,ol,dempla
think,tingting,ting ting,tingting,tingk
time,taem,taem,taim,taim
today,tede,tude,tede,tidei
tomorrow,tumora,tumoro,tumaro,thumara
tongue,tan,tan,tan,tan
tooth,tut,titi,tit,tit
tree,tri,tri,diwai,tri
true,tru,stret,tru,tru
turtle,totel,totel,trosel,totol
two,tu,tu,tu,tu
understand,save,save,save,sabe
very,fodei,tumas,tumas,tumas
want,wantem,wande,laik,wande
water,wota,wata,wara,wata
we,yumi,mifala,mipela,mipla
what,wanem,wat,wanem,wanem
wind,win,wind,win,win
yam,yamsped,yam,yam,yam
yes,,ya,ya,wa
you,yu,iu,yu,yu
