,created:,tough one,,
English,Bislama,Pijin,Tok Pisin,Torres Creole
above,antap,,antap long,
accelerator,vites,,akselareta,
accident,aksiden/aksidong/bang,,birua/tupela i bam/bagarap,
address,adres/adresem/nangi/tuak,,adres,
adult,anteadi,,bikpela man,
advertisement,advataesmen,,toksave,
after,afta/tiskaming,folom/falom,,
afternoon,aftenun,,apinun,
again,bakegen,,gen,
against,agensem,,i go long,
agree,agri,,yesa,
agreement,agrimen,,wanbel,
airport,airport/epot,,ples balus/epot,
alive,laef,,i gat laip,
all,olbaot,olgeta,olgeta,
allow,alawem/let,,larim,
alone,,seleva,wanpela tasol,
although,,,maski,
always,oltaem,,oltaim,
anchor,angka/angkarem,,anka,angka
and,mo/,,na,
angel,enjel/papiong,,ensel,
animal,anamol/animol,,animal/abus,
answer,ansa/ansarem/tokbak,,ansaim/bekim tok,
anus,asol,,as,
anyone,eniwan,eniwan,,
approximately,raonabaot,,samting/samting olsem,
april,epril,,epril,
army,ami/arme/danggari,,ami,
arrive,kamtru,kasem,kamap/kamap long,
arrow,ara,,supia bilong banara,
ascend,raesap,,go antap,
ash,asis,,sit bilong paia,
ask,askem/kwestinim,,askim,
august,ogis,,ogas,
australia,ostrelia,,ostrelia,
avoid,stewe,,abrusim,
axe,akis,,akis,tamyok
baby,bebi,,pikinini,
back,bak/bakdo/bakpei/bakstia,,bak/ baksait,bek,
bad,badfasin/badlak/badnius/badtaem/,nogud,nogut,
bake,bekem,,kukim,
bamboo,bambu,,mambu,
banana,saenbanana,,banana,
band,ban,,paspas,
bank,bang/bangbuk/bukbang,,beng,
bar,ba,,ba,
barbecue,babakiu,,kukim long paia,
bathe,swim,,waswas,
bathroom,batrum,,ples waswas/rum bilong waswas,
battery,batri,,bateri,
because,bikos/from,bekos,long wanem/bikos/bilong wanem/long wanem/bikos,
become,fomap,,kamap,
bed,sitbed/springbed,,bet,
bedroom,bedrum,,rum slip,
beer,bia/blutin,,bia,
before,bifo,bifoa/fastaem,bipo,
begin,,statim,kirapim,
behind,biaen,,bihain long,
believe,biliv/bilivim,,bilip/bilipim,
bell,bel,,belo,
belly,bel,,bel,
belt,strap,,let/paspas bilong bel,
best,bes/besfren,,nambawan,
bible,baebol,,baibel,
bicycle,baskel,,wilwil,
big,bigbig/bigbigfala/bigkom,,bikpela,
bill,bil,,bil,
bird,kingfaol/yelotang,,pisin,
biscuit,bisket,,bisket,
