English,Bislama,Pijin,Tok Pisin,Torres Creole
blood,blad/blakblad/strongblad,blad,blut,blad
bone,bun,bon,bun,bon
breast,titi/susu,susu/tutu,susu,susu
come,kam/kamaot/kamdaon/kamkros/kamon/maturu/silip,kam/kakam,kam,kam
die,ded/matemate,dae/kikim baket,dai/dai pinis,ded
dog,dog/ovon,dogi,dok,dog
drink,drin/dring/dringhaed/dringim/mamu/nunu/pipi,drinkim,drin/dringim,drin
ear,sore/dalinan/ia/nadalingan/nadalngan/natalingan,ia,yau/ia/yau/ia,talina/talinga
eye,ae,ae,ai,ay/ai
fire,faya/faia/blakanis/faea/faerem,faea,paia,paya
fish,fis/blakfis/fisanjips/fisposentri,fis/bis,pis,pis
hand,han,am/han,han,an
hear,harem/arem/haremsave,herem,harim,lesen
i,mi/aesi/areno,mi,mi,ay
knee,ni,ni,skru bilon lek/skru,ni
liver,leva,liva,lewa/liva,liba
louse,kuti/laos/nakutu,laos,laus,laus
mountain,hil,hil/maonden,maunten,il
night,nat/namb~on/naet,dak/naet/tudak,nait,nait
no,/nogud/nomata/nomo,nomoa,nogat,launga
nose,nus,nos,nus,nos
one,wan/wanfala/wansaed/wanwei,wan,wan/wanpela/wan/wanpela,wan
people,pipol/smolnambas,pipol,manmeri/pipel,pipel
person,man/fala/dabolhed/martinike/pesen/puaman/suang,man,man/man/meri,age/kole/agey
see,lasiri/luk,luk,lukim,luk
skin,skin/skinim,skin,skin/sigin,skin
star,sita/sta,sta,sta,sta
stone,ston/stonwol,ston,ston,ston
sun,san,san,san,san
today,tede,tude,tede/tude,tidei
tongue,tan/tang,tan,tan/tang,tan
tooth,tut,titi,tit,tit
tree,wud/tri/anandat/balanggo/benoa/blakpam/bluwud/glutri/nalakulaku/namalaos/namalaus/nambalanggo/nambuka/namemiwa/nasis/navava/navenue,tri,diwai/dawai,tri
two,tu/tufala/tustori/tutu,tu/tufala,tu/tupela/tu/tupela,tu
water,wota/welwota/wotafi/wotasaplae,wata,wara,wata
we,yumi/mitrifala/mitufala/yumitrifala/yumitu/yumitufala,mifala,yumi/mipela,mipla
you,yu/taptapin/yufala/yutrifala/yutufala,iu/iu fala,yu/yupela/yu/yupela,yu
