English,Bislama,Pijin,Tok Pisin,Torres Creole
gb021,0,0,0,0
gb023,1,1,0,0
gb024,1,1,1,1
gb026,0,0,0,0
gb027,1,1,1,1
gb028,1,1,1,1
gb030,0,0,0,0
gb031,1,1,1,1
gb035,0,0,0,0
gb036,0,0,0,0
gb037,0,0,0,0
gb038,0,0,0,0
gb039,0,0,0,0
gb041,0,0,0,0
gb042,0,0,0,0
gb043,0,0,0,0
gb044,0,0,0,0
gb051,0,0,0,0
gb052,0,0,0,0
gb053,0,0,0,0
gb054,0,0,0,0
gb057,0,0,0,0
gb058,0,0,0,0
gb068,1,1,1,1
gb070,0,0,0,0
gb071,1,0,0,1
gb074,1,1,1,1
gb075,0,0,0,0
gb079,0,0,0,0
gb080,1,1,1,1
gb081,0,0,0,0
gb082,0,0,0,0
gb083,0,0,0,0
gb084,0,0,0,0
gb086,0,0,0,0
gb089,0,0,0,0
gb090,0,0,0,0
gb091,0,0,0,0
gb092,0,0,0,0
gb093,0,0,0,1
gb094,0,0,0,0
gb095,0,0,0,0
gb096,0,0,0,0
gb098,0,0,0,1
gb099,0,0,0,0
gb103,0,0,0,0
gb104,0,0,0,0
gb105,1,1,1,1
gb107,0,0,0,0
gb108,1,0,0,1
gb109,0,0,0,0
gb110,0,0,0,0
gb111,0,0,0,0
gb113,1,1,1,1
gb114,1,0,0,0
gb115,1,0,0,0
gb116,0,0,0,0
gb118,1,1,1,1
gb119,0,0,0,0
gb120,0,0,0,0
gb121,0,0,0,0
gb127,0,0,0,0
gb129,0,0,0,0
gb130,1,1,1,1
gb131,0,0,0,0
gb132,1,1,1,1
gb133,0,0,0,0
gb134,1,1,1,1
gb135,1,1,1,1
gb136,1,1,1,1
gb137,0,0,0,0
gb138,0,0,0,0
gb147,0,0,0,0
gb148,0,0,0,0
gb149,0,0,0,0
gb150,0,0,0,0
gb151,0,0,0,0
gb152,0,0,0,0
gb155,0,1,1,1
gb156,0,0,0,0
gb158,1,1,1,0
gb159,0,0,0,0
gb165,0,0,0,0
gb166,0,0,0,0
gb167,0,0,0,0
gb170,0,0,0,0
gb171,0,0,0,0
gb172,0,0,0,0
gb177,0,0,0,1
gb184,0,0,0,0
gb185,0,0,0,1
gb187,0,0,0,0
gb188,0,0,0,0
gb192,0,0,0,0
gb196,0,0,0,0
gb197,0,0,0,0
gb198,0,0,0,0
gb203,1,1,1,1
gb204,1,1,0,0
gb250,1,1,1,1
gb257,1,1,1,1
gb298,0,0,0,0
gb299,1,1,1,1
gb300,0,0,0,0
gb301,1,1,1,1
gb302,0,0,0,0
gb303,0,0,0,0
gb304,0,0,0,0
gb306,0,0,0,1
gb309,0,0,0,0
gb312,0,0,0,0
gb313,0,0,1,1
gb314,0,0,0,0
gb315,0,0,0,0
gb317,0,0,0,0
gb318,1,1,1,1
gb319,0,0,0,0
gb320,0,0,0,0
gb321,0,0,0,0
gb324,0,0,0,0
gb325,0,0,0,0
gb326,1,1,1,0
gb327,1,1,1,1
gb328,0,0,0,0
gb329,0,0,0,0
gb330,0,0,0,0
gb331,0,0,0,0
gb333,1,1,1,1
gb334,0,0,0,0
gb335,0,0,0,0
gb336,0,0,0,0
gb400,0,0,0,0
gb401,0,0,0,0
gb402,0,0,0,0
gb403,0,0,0,0
gb408,0,0,0,1
gb409,0,0,0,0
gb410,1,1,1,1
gb430,1,0,0,0
gb431,0,0,0,0
gb432,0,0,0,0
gb433,0,0,0,0
gb519,1,1,1,1
gb520,1,1,1,1
gb521,0,0,1,1
