Feature id,Feature,Value,Source,Comment
,,,,
GB020,Are there definite or specific articles?,?,Mihalic 1971: 12-13; Smith and Siegel 2013,"“There is actually no definite article. … In some areas em, which is otherwise the third person singular personal pronoun, is used as if it were an article...”"
GB021,Do indefinite nominals commonly have indefinite articles?,0,Mihalic 1971: 12-13,
GB022,Are there prenominal articles?,1,Mihalic 1971: 12-13; Smith and Siegel 2013: 216,
GB023,Are there postnominal articles?,0,Mihalic 1971: 12-13,
GB024,What is the order of numeral and noun in the NP?,1,Mihalic 1971: 17,
GB025,What is the order of adnominal demonstrative and noun?,?,Smith and Siegel 2013,"“The clearest example of a demonstrative is prenominal dispela, often reduced to displa or most commonly, disla. Postnominal ia is generally considered to be a focus or emphatic marker, but Smith (2002:155-156) observes that in his data, it most often has an anaphoric function. It can also be used to direct the hearer’s attention to a referent in the environment.” The confidence of Smith & Siegel in coding for a postnominal demonstrative is ‘intermediate’, which I have reflected here in a question mark coding."
GB026,Can adnominal property words occur discontinuously?,0,Mihalic 1971: 18-19,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,Verhaar 1995: 162,
GB028,Is there a distinction between inclusive and exclusive?,1,Smith and Siegel 2013,
GB030,Is there a gender distinction in independent 3rd person pronouns?,0,Smith and Siegel 2013,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?,1,Mihalic 1971: 13-14,
GB035,Are there three or more distance contrasts in demonstratives?,0,Verhaar 1995: 366,
GB036,Do demonstratives show an elevation distinction?,0,Verhaar 1995: 365,
GB037,Do demonstratives show a visible-nonvisible distinction?,0,Verhaar 1995: 365,
GB038,Are there demonstrative classifiers?,0,Verhaar 1995: 365,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Mihalic 1971,"Not mentioned, judged absent"
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Mihalic 1971,"Not mentioned, judged absent"
GB042,Is there productive overt morphological singular marking on nouns?,0,Smith and Siegel 2013,
GB043,Is there productive morphological dual marking on nouns?,0,Smith and Siegel 2013,
GB044,Is there productive morphological plural marking on nouns?,0,Smith and Siegel 2013,
GB046,Is there an associative plural marker for nouns?,1,Smith and Siegel 2013,The plural marker precedes a noun when used additively but follows a name when used associatively.
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,0,Verhaar 1995: 25-26,The examples given do not give the impression that any of the affixes for action/state nominalisations are productive.
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,?,Verhaar 1995: 25,It is not clear whether the -a suffix is synchronically productive.
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,0,Verhaar 1995: 25-26,The examples given do not give the impression that any of the affixes for object nominalisations are productive.
GB051,Is there a gender/noun class system where sex is a factor in class assignment?,0,Smith and Siegel 2013,
GB052,Is there a gender/noun class system where shape is a factor in class assignment?,0,Smith and Siegel 2013,
GB053,Is there a gender/noun class system where animacy is a factor in class assignment?,0,Smith and Siegel 2013,
GB054,Is there a gender/noun class system where plant status is a factor in class assignment?,0,Smith and Siegel 2013,
GB057,Are there numeral classifiers?,0,Smith and Siegel 2013,
GB058,Are there possessive classifiers?,0,Mihalic 1971: 41-42,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,Verhaar 1995: 194-199,"Note that alienable and inalienable possession can be differentiated syntactically. However, they use the same morphosyntactic construction for adnominal possession."
GB065,What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?,2,Smith and Siegel 2013,
GB068,"Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",1,Smith and Siegel 2013,
GB069,"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Mihalic 1971: 17-18,
GB070,Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?,0,Verhaar 1995: 300-301,
GB071,Are there morphological cases for pronominal core arguments (i.e. S/A/P)?,0,Mihalic 1971: 13-14,
GB072,Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?,0,Verhaar 1995: 235-252,
GB073,Are there morphological cases for independent oblique personal pronominal arguments (i.e. not S/A/P)?,1,Smith and Siegel 2013,"“An alternative form of the third-person pronoun em is the suffix -en. This is attached only to the preposition long or to the possessive bilong which become longen and bilongen, respectively.”"
GB074,Are there prepositions?,1,Smith and Siegel 2013,
GB075,Are there postpositions?,0,Smith and Siegel 2013,
GB079,"Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?",0,Verhaar 1995: 10,
GB080,"Do verbs have suffixes/enclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?",1,Smith and Siegel 2013,
GB081,Is there productive infixation in verbs?,0,Verhaar 1995: 10,
GB082,Is there overt morphological marking of present tense on verbs?,0,Mihalic 1971: 28,
GB083,Is there overt morphological marking on the verb dedicated to past tense?,0,Mihalic 1971: 28,
GB084,Is there overt morphological marking on the verb dedicated to future tense?,0,Mihalic 1971: 28,
GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,0,Verhaar 1995: 107-118,
GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?,0,Mihalic 1971: 23,
GB090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,Mihalic 1971: 23,
GB091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?,0,Mihalic 1971,"Not mentioned, judged absent"
GB092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,Mihalic 1971,"Not mentioned, judged absent"
GB093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?,0,Mihalic 1971,"Not mentioned, judged absent"
GB094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,Mihalic 1971,"Not mentioned, judged absent"
GB095,Are variations in marking strategies of core participants based on TAM distinctions?,0,Smith and Siegel 2013,"Note that the position of 1/2 and 3 person pronouns differs with respect to bai ‘FUT’. However, this does not change the way in which the core participants are encoded."
GB096,Are variations in marking strategies of core participants based on verb classes?,0,Mihalic 1971,"Not mentioned, judged absent"
GB098,Are variations in marking strategies of core participants based on person distinctions?,0,Mihalic 1971: 23,
GB099,Can verb stems alter according to the person of a core participant?,0,Mihalic 1971,"Not mentioned, judged absent"
